timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697665823534,17984,Login-1,200,,Load Test Scenario 3 2-39,text,true,,28110,440,40,84,http://localhost:8081/,17982,0,0
1697665797789,44348,Login,200,,Spike Test Scenario 3 4-2,text,true,,28522,1162,39,84,http://localhost:8081/,25840,0,2
1697665797789,25840,Login-0,302,,Spike Test Scenario 3 4-2,,true,,412,722,39,84,http://localhost:8081/authenticate,25840,0,2
1697665823628,18509,Login-1,200,,Spike Test Scenario 3 4-2,text,true,,28110,440,39,84,http://localhost:8081/,18507,0,0
1697665792191,50027,Login,500,,Load Test Scenario 3 2-8,text,false,"Responce body as text should contain ""LOGOUT""",1185,1182,40,84,http://localhost:8081/,20012,0,3
1697665792191,20012,Login-0,302,,Load Test Scenario 3 2-8,,true,,412,742,40,84,http://localhost:8081/authenticate,20012,0,3
1697665812205,30013,Login-1,500,,Load Test Scenario 3 2-8,text,false,,773,440,40,84,http://localhost:8081/,30013,0,0
1697665693154,149475,Create Post,200,,Performance Test Scenario 3 3-5,text,true,,561,581,1,84,http://localhost:8081/api/post/auth/creator,149475,0,0
1697665797775,44994,Login,200,,Load Test Scenario 3 2-37,text,true,,28522,1170,40,83,http://localhost:8081/,25934,0,2
1697665797775,25934,Login-0,302,,Load Test Scenario 3 2-37,,true,,412,730,40,83,http://localhost:8081/authenticate,25934,0,2
1697665823708,19061,Login-1,200,,Load Test Scenario 3 2-37,text,true,,28110,440,40,83,http://localhost:8081/,19059,0,0
1697665797902,45348,Login,200,,Load Test Scenario 3 2-35,text,true,,28522,1182,40,83,http://localhost:8081/,25887,0,1
1697665797902,25887,Login-0,302,,Load Test Scenario 3 2-35,,true,,412,742,40,83,http://localhost:8081/authenticate,25887,0,1
1697665823788,19462,Login-1,200,,Load Test Scenario 3 2-35,text,true,,28110,440,40,83,http://localhost:8081/,19459,0,0
1697665798043,45347,Login,200,,Spike Test Scenario 3 4-3,text,true,,28522,1182,39,83,http://localhost:8081/,25822,0,2
1697665798043,25822,Login-0,302,,Spike Test Scenario 3 4-3,,true,,412,742,39,83,http://localhost:8081/authenticate,25822,0,2
1697665823864,19526,Login-1,200,,Spike Test Scenario 3 4-3,text,true,,28110,440,39,83,http://localhost:8081/,19524,0,0
1697665798285,45587,Login,200,,Load Test Scenario 3 2-32,text,true,,28522,1178,40,83,http://localhost:8081/,25656,0,2
1697665798285,25656,Login-0,302,,Load Test Scenario 3 2-32,,true,,412,738,40,83,http://localhost:8081/authenticate,25656,0,2
1697665823940,19932,Login-1,200,,Load Test Scenario 3 2-32,text,true,,28110,440,40,83,http://localhost:8081/,19929,0,0
1697665798602,45412,Login,200,,Load Test Scenario 3 2-30,text,true,,28522,1174,40,83,http://localhost:8081/,25417,0,1
1697665798602,25417,Login-0,302,,Load Test Scenario 3 2-30,,true,,412,734,40,83,http://localhost:8081/authenticate,25417,0,1
1697665824018,19996,Login-1,200,,Load Test Scenario 3 2-30,text,true,,28110,440,40,83,http://localhost:8081/,19993,0,0
1697665798814,45676,Login,200,,Load Test Scenario 3 2-31,text,true,,28522,1170,40,83,http://localhost:8081/,25289,0,2
1697665798814,25289,Login-0,302,,Load Test Scenario 3 2-31,,true,,412,730,40,83,http://localhost:8081/authenticate,25289,0,2
1697665824102,20388,Login-1,200,,Load Test Scenario 3 2-31,text,true,,28110,440,40,83,http://localhost:8081/,20386,0,0
1697665799318,45314,Login,200,,Load Test Scenario 3 2-26,text,true,,28522,1174,40,83,http://localhost:8081/,24925,0,2
