timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697729454738,26401,Login-1,200,,Stress Test  1-55,text,true,,28096,440,22,45,http://localhost:8081/,26397,0,0
1697729444270,37203,Delete Post,500,,Spike Test  4-5,text,false,Status code should be 200,773,611,12,44,http://localhost:8081/api/post/auth/manager?postId=1527,37203,0,0
1697729428225,53484,Login,200,,Stress Test  1-22,text,true,,28508,1162,21,44,http://localhost:8081/,26589,0,1
1697729428225,26589,Login-0,302,,Stress Test  1-22,,true,,412,722,21,44,http://localhost:8081/authenticate,26589,0,1
1697729454815,26894,Login-1,200,,Stress Test  1-22,text,true,,28096,440,21,44,http://localhost:8081/,26889,0,0
1697729451812,30192,Register Random User,500,,Spike Test  4-113,text,false,Status code should be 200,773,677,12,43,http://localhost:8081/api/users/,30192,0,2
1697729458711,23324,Register Random User,409,,Spike Test  4-7,text,false,Status code should be 200,689,677,11,42,http://localhost:8081/api/users/,23324,0,1
1697729428732,53352,Login,200,,Stress Test  1-81,text,true,,28508,1174,20,42,http://localhost:8081/,26162,0,2
1697729428732,26162,Login-0,302,,Stress Test  1-81,,true,,412,734,20,42,http://localhost:8081/authenticate,26162,0,2
1697729454894,27190,Login-1,200,,Stress Test  1-81,text,true,,28096,440,20,42,http://localhost:8081/,27175,0,0
1697729465770,16679,Register Random User,409,,Endurance Test  3-9,text,false,Status code should be 200,689,677,10,41,http://localhost:8081/api/users/,16679,0,1
